Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,,,Counter,,,,,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,,,,Counter,,,Wall
Wall,,,Counter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counter,,,Wall
Wall,,,Counter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counter,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,Counter,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,,,,,,,,,,,,,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,,,,,,,,,,,,,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,,,,,,,,,,,,,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,,,,,,,,,,,,,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,,,,,,,,,,,,,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,,,,,,,,,,,,,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,,,,,,,,,,,,,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,Cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
